X,Y,id,global_id,name,ward_code,sa_global_id,commodity_type,commodity_description,monday,tuesday,wednesday,thursday,friday,saturday,sunday,total_days,timestamp,lga_name,lga_code,state_code,state_name,icon_url
3.331175,6.54683160156654,"122276",22cd3af2-2fad-480c-b278-42131c298f5f,Limit 5 Superstore Market,LASOIO04,5517ad39-8b5c-49ee-8fe0-7ba7c4b95d96,Clothing Livestock Mixed,,Yes  ,Yes  ,Yes  ,Yes  ,Yes  ,Yes  ,No   ,"6",2021/04/21 09:24:07+00,Oshodi/Isolo,"25016",LA,Lagos,./0.png
3.620541667,6.474441667,"122277",ede7d2cb-297b-4d50-a6cb-69d576e9e20a,Haret Market,LASEOA18,9de35961-9320-4037-90de-c121c5ea269a,Clothing Electronic Spare Parts Mixed,,Yes  ,Yes  ,Yes  ,Yes  ,Yes  ,Yes  ,No   ,"6",2018/07/30 15:17:18+00,Eti Osa,"25008",LA,Lagos,./0.png
3.3662,6.53291,"123516",8fc3f6ed-fbb2-4fa4-9cdd-e9eaf652a0ec,Iron and Steel Market,LASMUN10,ad71a94b-3384-4455-93d1-6fe8019fc141,,,,,,,,,,,2021/04/21 09:39:59+00,Mushin,"25014",LA,Lagos,./0.png
3.34469,6.53998,"123517",b716a033-98e7-4ba6-9345-658269b04566,Enwerem Plaza Market,LASMUN19,f1ffa517-1354-44c4-a0ad-a61159dd51ae,,,,,,,,,,,2021/04/21 09:24:07+00,Mushin,"25014",LA,Lagos,./0.png
3.33231805547265,6.54715326263537,"123973",583a2a15-ccea-45bb-9b2c-2522c1174d25,Ramotalahi Ayodele Memorial Plaza Market,LASOIO04,5517ad39-8b5c-49ee-8fe0-7ba7c4b95d96,Clothing Livestock Electronic Spare Parts Food Stuff Mixed,,Yes  ,Yes  ,Yes  ,Yes  ,Yes  ,Yes  ,No   ,"6",2021/04/21 09:24:07+00,Oshodi/Isolo,"25016",LA,Lagos,./0.png
2.967113333,6.437868333,"123974",281484e6-ea14-4efe-acae-23bcfd03e28d,Alhaja Awawu Market,LASBDY07,,Clothing Electronic Spare Parts Food Stuff Mixed,,Yes  ,Yes  ,Yes  ,Yes  ,Yes  ,Yes  ,No   ,"6",2021/04/21 09:24:07+00,Badagry,"25006",LA,Lagos,./0.png
3.51504471754148,6.43816364620966,"123975",37eea72d-f11c-4521-9ac3-c1be15bf96ea,Chief Muritala Odofin Complex Market,LASEOA04,1ef4eeb9-6a4e-4f9b-8e59-e2e193950f4a,Mixed,,Yes  ,Yes  ,Yes  ,Yes  ,Yes  ,Yes  ,Yes  ,"7",2021/04/21 09:24:07+00,Eti Osa,"25008",LA,Lagos,./0.png
3.25569410014859,6.45670044407658,"123976",ac6f6fba-861b-4341-9119-edc0becf6268,Soba Market,LASAON02,12070097-044c-4e6b-94a6-1eda5163503b,Livestock Food Stuff,,Yes  ,Yes  ,Yes  ,Yes  ,No   ,Yes  ,No   ,"5",2018/07/30 15:17:18+00,Amuwo Odofin,"25004",LA,Lagos,./0.png
3.28187443408295,6.57943385830356,"123977",c30eaefa-691d-458c-8702-71144dcdcd29,New Life Motor Spare Part Market,LASAMO28,37fb229e-5959-4585-bac5-6ba6968ea1d7,Electronic Spare Parts,,Yes  ,Yes  ,Yes  ,Yes  ,Yes  ,Yes  ,No   ,"6",2021/04/21 09:24:07+00,Alimosho,"25003",LA,Lagos,./0.png
3.267261667,6.54763,"123978",a95f1a67-297f-4275-a70b-7e35409ea00f,Ijegun Road Round About Market,LASAMO25,3f97cf41-399e-4d7c-9909-0e39bf78aa36,Mixed,,Yes  ,Yes  ,Yes  ,Yes  ,Yes  ,Yes  ,Yes  ,"7",2021/04/21 09:24:07+00,Alimosho,"25003",LA,Lagos,./0.png
